#   U_SEM                    StDev_SEM                U_Diaphragm              StDev_Diaphragm          Inorm                    R         D         

1   0,534845352172852        0,274735811395077        0,514347732067108        0,321397754759952        0,00103985167781992      1000      0,053     
2   0,49502569437027         0,295112947862299        0,521072864532471        0,285811437780833        0,000950012422570552     1000      0,053     
3   0,533943474292755        0,29443704328806         0,516402542591095        0,267447718901429        0,0010339675548723       1000      0,095     
4   0,538874566555023        0,280579452764526        0,516582906246185        0,303333727901491        0,00104315214467862      1000      0,095     
5   0,505068242549896        0,272471979677527        0,547161817550659        0,282155390867455        0,000923069239024769     1000      0,188     
6   0,487408190965652        0,287304406276948        0,551661312580109        0,286191189986897        0,000883527954291473     1000      0,188     
7   0,505428910255432        0,325638566037873        0,502240240573883        0,312257840739018        0,00100634889326651      1000      0,188     
8   0,590360045433044        0,257622378125555        0,520260989665985        0,300754479478862        0,0011347382509153       1000      0,188     
9   0,471071839332581        0,277036689877357        0,530574202537537        0,256440154264127        0,000887852890471533     1000      0,188     
10  0,477796971797943        0,276898595797394        0,468594938516617        0,268228782024664        0,00101963750037603      1000      0,188     
11  0,534845352172852        0,274735811395077        0,524248659610748        0,299665513902509        0,00102021310377784      1000      0,188     
12  0,49502569437027         0,295112947862299        0,449179768562317        0,312151921623049        0,0011020658743262       1000      0,188     
13  0,533943474292755        0,29443704328806         0,534110903739929        0,277497611041935        0,000999686526813061     1000      0,188     
14  0,538874566555023        0,280579452764526        0,50083601474762         0,273937220081412        0,00107595011278606      1000      0,188     
15  0,505068242549896        0,272471979677527        0,526664197444916        0,276160600987748        0,000958994830102765     1000      0,188     
16  0,487408190965652        0,287304406276948        0,489369660615921        0,318816844424477        0,000995991844594943     1000      0,188     
17  0,505428910255432        0,325638566037873        0,52649337053299         0,295551276629185        0,000959991024661464     1000      0,188     
18  0,590360045433044        0,257622378125555        0,493218541145325        0,289114649955404        0,00119695428331251      1000      0,188     
19  0,471071839332581        0,277036689877357        0,500475108623505        0,270865932703478        0,000941249287358578     1000      0,188     
20  0,477796971797943        0,276898595797394        0,516701817512512        0,283185618184392        0,000924705421200445     1000      0,188     

