#   U_SEM                    StDev_SEM                U_Diaphragm              StDev_Diaphragm          Inorm                    R         D         

1   0,483632624149323        0,280947026560767        0,553999006748199        0,27606723289707         0,000872984641232652     1000      0,053     
2   0,511307120323181        0,26816911570942         0,47011211514473         0,264550926440507        0,00108762804414383      1000      0,053     
3   0,508450925350189        0,30383671168079         0,550212681293488        0,288636170462826        0,000924098885098175     1000      0,095     
4   0,424931168556213        0,301735352919741        0,469549894332886        0,310175483269638        0,00090497553866972      1000      0,095     
5   0,43622750043869         0,295374777777068        0,460480630397797        0,253162815893881        0,000947330835744047     1000      0,188     
6   0,445118218660355        0,292616981875506        0,518541157245636        0,280109311890011        8,58404800546043E-05     10000     0,188     
7   0,515299081802368        0,280605420004501        0,468722015619278        0,294046546003           0,00109937034026779      1000      0,188     
8   0,396343886852264        0,297473089333036        0,498902827501297        0,294884021713617        7,94431029459808E-05     10000     0,188     
9   0,440313249826431        0,2678465498611          0,471542805433273        0,26266303364336         0,000933771536227454     1000      0,188     
10  0,508268415927887        0,264904360811083        0,507305383682251        0,29723524931916         0,000100189832845582     10000     0,188     
11  0,483632624149323        0,280947026560767        0,477454960346222        0,280220975859082        0,00101293873624985      1000      0,188     
12  0,511307120323181        0,26816911570942         0,463966697454453        0,279046698420538        0,0011020340966894       1000      0,188     
13  0,508450925350189        0,30383671168079         0,543004333972931        0,266200189167493        9,36366237871567E-05     10000     0,188     
14  0,424931168556213        0,301735352919741        0,538122236728668        0,285036642094412        0,000789655471476961     1000      0,188     
15  0,43622750043869         0,295374777777068        0,575066328048706        0,272587655398076        0,000758569019192762     1000      0,188     
16  0,445118218660355        0,292616981875506        0,536681115627289        0,277372754768071        0,000829390499682642     1000      0,188     
17  0,515299081802368        0,280605420004501        0,483373731374741        0,295311049425177        0,00106604692881599      1000      0,188     
18  0,396343886852264        0,297473089333036        0,487906783819199        0,251632191517096        0,000812335265662417     1000      0,188     
19  0,440313249826431        0,2678465498611          0,521012127399445        0,293604880462312        0,000845111325957402     1000      0,188     
20  0,508268415927887        0,264904360811083        0,500728368759155        0,280605426302301        0,00101505815855294      1000      0,188     

