#   U_SEM                    StDev_SEM                U_Diaphragm              StDev_Diaphragm          Inorm                    R         D         

1   0,462815701961517        0,287244234882639        0,553979218006134        0,280150956985987        0,0008                   1000      0,053     
2   0,461030304431915        0,290567925884691        0,450034230947495        0,279814887443285        0,001                    1000      0,053     
3   0,462401360273361        0,286945732159576        0,472302317619324        0,313386623679611        0,001                    1000      0,095     
4   0,499353408813477        0,261448648024203        0,518855750560761        0,311351361539301        0,001                    1000      0,095     
5   0,439727574586868        0,259168514620308        0,478332936763763        0,277479264398331        0,0009                   1000      0,188     
6   0,48488637804985         0,293317132457181        0,521697700023651        0,296146737881973        0,0009                   1000      0,188     
7   0,540809333324432        0,256322270468983        0,5107102394104          0,28651649792581         0,0011                   1000      0,188     
8   0,51653254032135         0,236545274778934        0,566433489322662        0,269530528037755        0,0009                   1000      0,188     
9   0,48783677816391         0,30489898298185         0,512089908123016        0,315438499479735        0,001                    1000      0,188     
10  0,473493218421936        0,287244228040154        0,455952346324921        0,260815392404412        0,001                    1000      0,188     
11  0,462815701961517        0,287244234882639        0,563880145549774        0,305136429913682        0,0008                   1000      0,188     
12  0,461030304431915        0,290567925884691        0,501729190349579        0,287244232161784        0,0009                   1000      0,188     
13  0,462401360273361        0,286945732159576        0,491804659366608        0,270978216219183        0,0009                   1000      0,188     
14  0,499353408813477        0,261448648024203        0,501314878463745        0,285789392954359        0,001                    1000      0,188     
15  0,439727574586868        0,259168514620308        0,476938277482986        0,268289208814428        0,0009                   1000      0,188     
16  0,48488637804985         0,293317132457181        0,510701596736908        0,306438194845503        0,0009                   1000      0,188     
17  0,540809333324432        0,256322270468983        0,48366779088974         0,283185626497884        0,0011                   1000      0,188     
18  0,51653254032135         0,236545274778934        0,532846212387085        0,27991848662374         0,001                    1000      0,188     
19  0,48783677816391         0,30489898298185         0,520196855068207        0,319155349372681        0,0009                   1000      0,188     
20  0,473493218421936        0,287244228040154        0,486750304698944        0,271886705986982        0,001                    1000      0,188     

