D                        T                        

0                        1                        
0,0529999993741512       0,937900891126203        
0,105999998748302        0,886646048370901        
0,20099999755621         0,829220530980545        
0,295999996364117        0,782181851514696        
0,483999989926815        0,741203670722531        
0,671999983489513        0,688509596357816        
0,859999977052212        0,639746739084659        
1,04799997061491         0,590531142604553        
1,23599996417761         0,546011952502439        
1,42399995774031         0,492885375355304        
1,61199995130301         0,437347608889458        
1,7999999448657          0,387339097441958        
1,9879999384284          0,32736642228179         
2,1759999319911          0,2865131493827          
2,3639999255538          0,246426463440794        
2,5519999191165          0,194925624364758        
2,7399999126792          0,143324863341709        
2,92799990624189         0,0952602066206189       
3,11599989980459         0,0477542000775476       

