D                        T                        

0                        1                        
0,0529999993741512       0,953507182363123        
0,105999998748302        0,91111191738946         
0,20099999755621         0,86158476119978         
0,295999996364117        0,809241088370329        
0,483999989926815        0,744647127260703        
0,671999983489513        0,691911613169599        
0,859999977052212        0,634990307685239        
1,04799997061491         0,582294850262534        
1,23599996417761         0,541183421506393        
1,42399995774031         0,493793166575489        
1,61199995130301         0,445937976846666        
1,7999999448657          0,401686396478517        
1,9879999384284          0,349242996786568        
2,1759999319911          0,304040264819448        
2,3639999255538          0,247626580620634        
2,5519999191165          0,2004038229053          
2,7399999126792          0,150069854235817        
2,92799990624189         0,0971263282133969       
3,11599989980459         0,0478269033266839       

