#   U_SEM                    StDev_SEM                U_Diaphragm              StDev_Diaphragm          Inorm                    R         D         

1   0,513415157794952        0,295036884665531        0,532485902309418        0,288403039309908        0,000964185447104319     1000      0,053     
2   0,52323043346405         0,301983136650662        0,547483563423157        0,290116458927225        0,000955700715821562     1000      0,053     
3   0,532214760780334        0,270039490344924        0,474673867225647        0,294354811875513        0,00112122195369844      1000      0,095     
4   0,497710824012756        0,292838924883703        0,480169951915741        0,306262441630325        0,00103653054929204      1000      0,095     
5   0,524004101753235        0,287029208905692        0,510051250457764        0,310960486338483        0,00102735578293936      1000      0,188     
6   0,484649538993835        0,294113268797176        0,478504091501236        0,307521108715088        0,001012843040638        1000      0,188     
7   0,463235259056091        0,297500940974126        0,532239198684692        0,313818167397053        0,000870351639264585     1000      0,188     
8   0,490359485149384        0,278238987237893        0,528964817523956        0,259849945436134        0,000927017202098088     1000      0,188     
9   0,469244718551636        0,28062356587223         0,464793473482132        0,277763795020926        0,00100957682352154      1000      0,188     
10  0,481585144996643        0,259096434855689        0,462781697511673        0,322423817590728        0,00104063135509912      1000      0,188     
11  0,513415157794952        0,295036884665531        0,480227261781693        0,276874653689785        0,00106910872966714      1000      0,188     
12  0,52323043346405         0,301983136650662        0,551371157169342        0,275893592519431        0,000948962285496104     1000      0,188     
13  0,532214760780334        0,270039490344924        0,529425442218781        0,323940538201038        0,00100526857672322      1000      0,188     
14  0,497710824012756        0,292838924883703        0,603526055812836        0,285303573980962        0,000824671642954062     1000      0,188     
15  0,524004101753235        0,287029208905692        0,453772932291031        0,313640104713376        0,0011547716147537       1000      0,188     
16  0,484649538993835        0,294113268797176        0,549302041530609        0,285963375546478        0,000882300633078621     1000      0,188     
17  0,463235259056091        0,297500940974126        0,508253335952759        0,29307110250072         0,000911425909655314     1000      0,188     
18  0,490359485149384        0,278238987237893        0,54846715927124         0,267974848161876        0,00089405441485491      1000      0,188     
19  0,469244718551636        0,28062356587223         0,513000249862671        0,24081610544502         0,000914706608188303     1000      0,188     
20  0,481585144996643        0,259096434855689        0,499692857265472        0,281197073083644        0,000963762315179124     1000      0,188     

