#   U_SEM                    StDev_SEM                U_Diaphragm              StDev_Diaphragm          Inorm                    R         D         

1   0,515548348426819        0,318434976591225        0,533256649971008        0,263450485292159        0,000966792159938086     1000      0,053     
2   0,494034200906754        0,267126706790568        0,610945343971252        0,291422432195832        0,000808638949100494     1000      0,053     
3   0,440726846456528        0,239090868699051        0,568933606147766        0,271128539440712        0,000774654268431561     1000      0,095     
4   0,564428925514221        0,277829257156252        0,503931283950806        0,296158353763295        0,00112005137107011      1000      0,095     
5   0,474310219287872        0,260679252286492        0,511121511459351        0,295036876045969        0,000927979372133302     1000      0,188     
6   0,553261458873749        0,285141985423029        0,391335397958755        0,271696807305294        0,0014137782111192       1000      0,188     
7   0,551249742507935        0,286567395632542        0,498028010129929        0,30152661489916         0,00110686493790605      1000      0,188     
8   0,521664023399353        0,294113279478609        0,536016225814819        0,289712022586697        0,000973224313510941     1000      0,188     
9   0,492741882801056        0,295036885391289        0,545267820358276        0,293071107703266        0,000903669471045059     1000      0,188     
10  0,516345679759979        0,292838929893322        0,483489543199539        0,284755611379297        0,00106795625060061      1000      0,188     
11  0,515548348426819        0,318434976591225        0,530067980289459        0,294354814906028        0,000972607981612639     1000      0,188     
12  0,494034200906754        0,267126706790568        0,519949316978455        0,283284195773905        0,000950158380393113     1000      0,188     
13  0,440726846456528        0,239090868699051        0,463585317134857        0,291800725408851        0,000950691987357141     1000      0,188     
14  0,564428925514221        0,277829257156252        0,522171020507813        0,270091778953867        0,00108092732715292      1000      0,188     
15  0,474310219287872        0,260679252286492        0,475840091705322        0,309167914947144        0,000996784902230564     1000      0,188     
16  0,553261458873749        0,285141985423029        0,523030340671539        0,309000137369014        0,00105779993214809      1000      0,188     
17  0,551249742507935        0,286567395632542        0,513211190700531        0,274440050555188        0,00107411871076989      1000      0,188     
18  0,521664023399353        0,294113279478609        0,475086987018585        0,281492808804628        0,0010980389647653       1000      0,188     
19  0,492741882801056        0,295036885391289        0,493308693170547        0,29435481670475         0,000998851002673704     1000      0,188     
20  0,516345679759979        0,292838929893322        0,483489543199539        0,284755611379297        0,00106795625060061      1000      0,188     

